f_findingid,s_studyid,s_interventionid,s_intervention_name,s_citation,s_purpose_of_review,s_protocol,s_protocol_version,s_standards_version,s_study_design,s_study_rating,s_program_type_curriculum,s_program_type_policy,s_program_type_practice,s_program_type_school_level,s_program_type_supplement,s_program_type_teacher_level,s_delivery_method_individual,s_delivery_method_school,s_delivery_method_small_group,s_delivery_method_whole_class,f_outcome_domain,f_outcome_measure,f_is_subgroup,f_ss,f_t_ss,f_c_ss,f_t_cluster_ss,f_c_cluster_ss,f_cluster_ss,f_t_mean,f_c_mean,f_t_sd,f_c_sd,f_effect_size_study,f_effect_size_wwc,f_p_value_study,f_p_value_wwc,f_icc,s_multisite,revised_outcome_measure,topic_area,outcome_type,qed,with_res,grade_ece,grade_3_6,grade_k_3,grade_6_9,grade_9_12,standards_21_plus,alphabetics,literacy,math,other,science,interpersonal,intrapersonal,progress,comprehension,fluency,writing,broad,narrow,researcher,developer
5975,131,1062,Building Assets Reducing Risks (BARR),"Borman, T. H., Bos, J. M., OÃÂ¢ÃÂÃÂBrien, B. C., Park, S. J., & Liu, F. (2016). i3 BARR validation study impact findings: Cohort 1. Washington, DC: American Institutes for Research.",Grant Competition,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations,0,0,0,1,0,0,0,1,0,1,Reading achievement,northwest evaluation association (nwea) measures of academic progress (map): reading assessment,False,907,449,458,449,458,907,.059999999,-.059999999,,,.12,.11990052,.029999999,.071780056,,True,nwea measures of academic progress (map),literacy,broad,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5974,131,1062,Building Assets Reducing Risks (BARR),"Borman, T. H., Bos, J. M., OÃ¢ÂÂBrien, B. C., Park, S. J., & Liu, F. (2016). i3 BARR validation study impact findings: Cohort 1. Washington, DC: American Institutes for Research.",Grant Competition,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations,0,0,0,1,0,0,0,1,0,1,General Mathematics Achievement,northwest evaluation association (nwea) measures of academic progress (map): mathematics,False,907,453,454,453,454,907,.0099999998,-.0099999998,,,.029999999,.01998342,.58999997,.65177816,,True,nwea measures of academic progress (map),math,broad,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5952,132,1062,Building Assets Reducing Risks (BARR),"Corsello, M., & Sharma, A. (2015). The Building Assets-Reducing Risks Program: Replication and expansion of an effective strategy to turn around low-achieving schools. Final report. Napa, CA: Corsello Consulting.",Department-funded evaluation,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations,0,0,0,1,0,0,1,1,0,0,Academic achievement,northwest evaluation association (nwea) measures of academic progress (map): mathematics,False,483,252,231,252,231,483,,,,,,.33520183,,.00027651392,,False,nwea measures of academic progress (map),math,broad,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5951,132,1062,Building Assets Reducing Risks (BARR),"Corsello, M., & Sharma, A. (2015). The Building Assets-Reducing Risks Program: Replication and expansion of an effective strategy to turn around low-achieving schools. Final report. Napa, CA: Corsello Consulting.",Department-funded evaluation,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations,0,0,0,1,0,0,1,1,0,0,Academic achievement,northwest evaluation association (nwea) measures of academic progress (map): reading,False,495,261,234,261,234,495,,,,,,.15021847,.001,.096242473,,False,nwea measures of academic progress (map),literacy,broad,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5963,133,436,Reasoning Mind,"Weber, W. A. (2003). Description and evaluation of Reasoning MindÃ¢ÂÂs 2003 pilot project. Houston, TX: Reasoning Mind, Inc.",Grant Competition,Middle School Math,2,3,RCT,Meets WWC standards with reservations,0,0,0,0,1,0,1,0,0,0,General Mathematics Achievement,texas assessment of knowledge and skills (taks) mathematics,False,54,29,25,29,25,54,30.209999,25.110001,,,.79000002,.68793392,.003,.014758007,,False,texas assessment of knowledge and skills (taks),math,broad,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5946,145,1253,Individualized Student Instruction (ISI),"Connor, C. M., Morrison, F. J., Fishman, B., Giuliani, S., Luck, M., Underwood, P., ... Schatschneider, C. (2011). Classroom instruction, child X instruction interactions and the impact of differentiating student instruction on third gradersÃÂ¢ÃÂÃÂ reading comprehension. Reading Research Quarterly, 46(3), 189ÃÂ¢ÃÂÃÂ221.",Grant Competition,Beginning Reading,3,3,RCT,Meets WWC standards with reservations,0,0,1,0,0,0,0,0,1,0,Comprehension,gates-macginitie reading tests (gmrt): total,False,448,219,229,16,17,33,480.47,483.26001,,,.19,.090616807,.048999999,.33845207,,True,gates macginitie reading test (gmrt),literacy,narrow,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5788,163,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Department-funded evaluation,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,partnership for the assessment of standards-based science (pass): open ended,False,2585,1409,1176,35,31,66,66.389999,64.5,,,.090000004,.091361657,.23999999,.023392515,,,partnership for assessment of readiness for college and careers (parcc),science,broad,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5199,163,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Department-funded evaluation,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,houston independent school district (hisd) staar state standardized test: science,False,1163,672,491,21,18,39,3798.8,3761.8,,,.079999998,.084315024,.079999998,.17883928,,,state of texas assessments of academic readiness (staar),science,broad,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5207,163,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Department-funded evaluation,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,north carolina end-of-grade state standardized test: science,False,1847,886,961,14,15,29,255.10001,255.5,,,-.02,-.02372488,.52600002,.66793096,,,north carolina end-of-grade test,science,broad,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5789,163,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Department-funded evaluation,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,partnership for the assessment of standards-based science (pass): performance test,False,2601,1429,1172,35,32,67,66.550003,65.089996,,,.090000004,.090611294,.35499999,.023083828,,,partnership for assessment of readiness for college and careers (parcc),science,broad,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5216,163,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Department-funded evaluation,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,stanford achievement test: science,False,1189,688,501,21,18,39,568.20001,578.40002,,,-.050000001,-.050373934,.30700001,.39175084,,,stanford achievement test (sat),science,broad,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5190,163,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Department-funded evaluation,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,partnership for the assessment of standards-based science (pass): multiple choice,False,4123,2338,1785,51,43,94,435.79999,434.88,,,.0099999998,.010365792,.69800001,.74178898,,,partnership for assessment of readiness for college and careers (parcc),science,broad,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6030,500,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Grant Competition,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,partnership for the assessment of standards-based science (pass): open ended,False,1527,832,695,8,8,16,85.080002,84.599998,,,.029999999,.031127488,.477,.54515249,,,partnership for assessment of readiness for college and careers (parcc),science,broad,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6033,500,13,The LASER Model,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.",Grant Competition,Science,2,3,RCT,Meets WWC standards without reservations,1,0,1,0,0,0,0,0,0,1,Science achievement,stanford achievement test: science,False,291,148,143,5,4,9,555.90002,599.20001,,,-.23,-.23137599,.0060000001,.47523054,.2,,stanford achievement test (sat),science,broad,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
