f_findingid,s_studyid,s_ericid,reviewid,s_interventionid,s_intervention_name,s_productid,s_product_name,s_citation,s_publication,s_publication_date,s_posting_date,s_purpose_of_review,s_study_page_url,s_protocol,s_protocol_version,s_standards_version,s_study_design,s_study_rating,s_rating_reason,s_ineligibility_reason,s_class_type_general,s_class_type_inclusion,s_ell,s_frpl,s_international,s_swd,s_gender_female,s_gender_male,s_ethnicity_hispanic,s_ethnicity_not_hispanic,s_race_asian,s_race_black,s_race_native_american,s_race_other,s_race_pacific_islander,s_race_white,s_school_type_charter,s_school_type_parochial,s_school_type_private,s_school_type_public,s_urbanicity_rural,s_urbanicity_suburban,s_urbanicity_urban,s_program_type_curriculum,s_program_type_policy,s_program_type_practice,s_program_type_school_level,s_program_type_supplement,s_program_type_teacher_level,s_delivery_method_individual,s_delivery_method_school,s_delivery_method_small_group,s_delivery_method_whole_class,f_comparison,f_outcome_domain,f_outcome_measure,f_period,f_sample_description,f_is_subgroup,f_ss,f_t_ss,f_c_ss,f_cluster_ss,f_t_cluster_ss,f_c_cluster_ss,f_t_mean,f_c_mean,f_t_sd,f_c_sd,f_effect_size_study,f_effect_size_wwc,f_improvement_index,f_p_value_study,f_p_value_wwc,f_icc,f_is_stat_sig,f_finding_rating,f_essa_rating,s_multisite,f_l1_unit_of_analysis,qed,with_res,version_2_1_up,grade_band,grade_ece,grade_3_6,grade_k_3,grade_6_9,grade_9_12,topic,outcome_domain,alphabetics,literacy,math,other,science,interpersonal,intrapersonal,progress,comprehension,fluency,writing,outcome_var,category,broad,narrow,researcher,developer
5975,131,,1901417,1062,Building Assets Reducing Risks (BARR),,,"Borman, T. H., Bos, J. M., OÃÂ¢ÃÂÃÂBrien, B. C., Park, S. J., & Liu, F. (2016). i3 BARR validation study impact findings: Cohort 1. Washington, DC: American Institutes for Research.","Washington, DC: American Institutes for Research.",2016,,Grant Competition,/Study/131,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations, it is a randomized controlled trial with low attrition.,,,,8.3000002,54,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,0,0,0,1,0,1,-.059999999,Reading achievement,northwest evaluation association (nwea) measures of academic progress (map): reading assessment,1 Year,Full sample,False,907,449,458,907,449,458,.059999999,-.059999999,,,.12,.11990052,5,.029999999,.071780056,,True,Meets WWC standards without reservations,ESSA Tier 1,True,Student,0,0,1,9-12,0,0,0,0,1,literacy,general literacy,0,1,0,0,0,0,0,0,0,0,0,nwea measures of academic progress (map),broad,1,0,0,0
5974,131,,1901417,1062,Building Assets Reducing Risks (BARR),,,"Borman, T. H., Bos, J. M., OÃ¢ÂÂBrien, B. C., Park, S. J., & Liu, F. (2016). i3 BARR validation study impact findings: Cohort 1. Washington, DC: American Institutes for Research.","Washington, DC: American Institutes for Research.",2016,,Grant Competition,/Study/131,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations, it is a randomized controlled trial with low attrition.,,,,8.3000002,54,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,0,0,0,1,0,1,-.0099999998,General Mathematics Achievement,northwest evaluation association (nwea) measures of academic progress (map): mathematics,1 Year,Full sample,False,907,453,454,907,453,454,.0099999998,-.0099999998,,,.029999999,.01998342,1,.58999997,.65177816,,False,Meets WWC standards without reservations,,True,Student,0,0,1,9-12,0,0,0,0,1,math,general math,0,0,1,0,0,0,0,0,0,0,0,nwea measures of academic progress (map),broad,1,0,0,0
5952,132,ED560804,1901327,1062,Building Assets Reducing Risks (BARR),,,"Corsello, M., & Sharma, A. (2015). The Building Assets-Reducing Risks Program: Replication and expansion of an effective strategy to turn around low-achieving schools. Final report. Napa, CA: Corsello Consulting.","Napa, CA: Corsello Consulting.",2015,,Department-funded evaluation,/Study/132,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations, it is a randomized controlled trial with low attrition.,,,,17,68,,,54,46,37,63,,,,,,52,,,,1,,1,,0,0,0,1,0,0,1,1,0,0,,Academic achievement,northwest evaluation association (nwea) measures of academic progress (map): mathematics,1 Year,Full sample,False,483,252,231,483,252,231,,,,,,.33520183,13,,.00027651392,,True,Meets WWC standards without reservations,ESSA Tier 1,False,Student,0,0,1,9-12,0,0,0,0,1,math,general math,0,0,1,0,0,0,0,0,0,0,0,nwea measures of academic progress (map),broad,1,0,0,0
5951,132,ED560804,1901327,1062,Building Assets Reducing Risks (BARR),,,"Corsello, M., & Sharma, A. (2015). The Building Assets-Reducing Risks Program: Replication and expansion of an effective strategy to turn around low-achieving schools. Final report. Napa, CA: Corsello Consulting.","Napa, CA: Corsello Consulting.",2015,,Department-funded evaluation,/Study/132,Review of Individual Studies,3,3,RCT,Meets WWC standards without reservations, it is a randomized controlled trial with low attrition.,,,,17,68,,,54,46,37,63,,,,,,52,,,,1,,1,,0,0,0,1,0,0,1,1,0,0,,Academic achievement,northwest evaluation association (nwea) measures of academic progress (map): reading,1 Year,Full sample,False,495,261,234,495,261,234,,,,,,.15021847,6,.001,.096242473,,True,Meets WWC standards without reservations,ESSA Tier 1,False,Student,0,0,1,9-12,0,0,0,0,1,literacy,general literacy,0,1,0,0,0,0,0,0,0,0,0,nwea measures of academic progress (map),broad,1,0,0,0
5963,133,,1901403,436,Reasoning Mind,,,"Weber, W. A. (2003). Description and evaluation of Reasoning MindÃ¢ÂÂs 2003 pilot project. Houston, TX: Reasoning Mind, Inc.","Houston, TX: Reasoning Mind, Inc.",2003,,Grant Competition,/Study/133,Middle School Math,2,3,RCT,Meets WWC standards with reservations," it is a randomized controlled trial with high attrition, but the analytic intervention and comparison groups satisfy the baseline equivalence requirement.",,,,,,,,,,91,9,,5,,,,4,,,,1,,,1,0,0,0,0,1,0,1,0,0,0,25.110001,General Mathematics Achievement,texas assessment of knowledge and skills (taks) mathematics,1 Year,Full sample,False,54,29,25,54,29,25,30.209999,25.110001,,,.79000002,.68793392,25,.003,.014758007,,True,Meets WWC standards with reservations,ESSA Tier 2,False,Student,0,1,1,6-9,0,0,0,1,0,math,general math,0,0,1,0,0,0,0,0,0,0,0,texas assessment of knowledge and skills (taks),broad,1,0,0,0
5946,145,,1901324,1253,Individualized Student Instruction (ISI),,,"Connor, C. M., Morrison, F. J., Fishman, B., Giuliani, S., Luck, M., Underwood, P., ... Schatschneider, C. (2011). Classroom instruction, child X instruction interactions and the impact of differentiating student instruction on third gradersÃÂ¢ÃÂÃÂ reading comprehension. Reading Research Quarterly, 46(3), 189ÃÂ¢ÃÂÃÂ221.","Reading Research Quarterly, 46(3), 189ÃÂ¢ÃÂÃÂ221.",2011,,Grant Competition,/Study/145,Beginning Reading,3,3,RCT,Meets WWC standards with reservations," it is a randomized controlled trial with high attrition, but the analytic intervention and comparison groups satisfy the baseline equivalence requirement.",,1,,,,,,,,3,97,3,51,,3,,36,,,,1,1,1,1,0,0,1,0,0,0,0,0,1,0,483.26001,Comprehension,gates-macginitie reading tests (gmrt): total,1 Year,Full sample,False,448,219,229,33,16,17,480.47,483.26001,,,.19,.090616807,4,.048999999,.33845207,,True,Meets WWC standards with reservations,ESSA Tier 2,True,Student,0,1,1,K-3,0,0,1,0,0,literacy,reading comprehension,0,0,0,0,0,0,0,0,1,0,0,gates macginitie reading test (gmrt),narrow,0,1,0,0
5207,163,ED562712,1900851,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Department-funded evaluation,/Study/163,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,255.5,Science achievement,north carolina end-of-grade state standardized test: science,3 Years,Full sample,False,1847,886,961,29,14,15,255.10001,255.5,,,-.02,-.02372488,-1,.52600002,.66793096,,False,Meets WWC standards with reservations,,,Student,0,0,1,3-6,0,1,0,0,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,north carolina end-of-grade test,broad,1,0,0,0
5199,163,ED562712,1900851,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Department-funded evaluation,/Study/163,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,3761.8,Science achievement,houston independent school district (hisd) staar state standardized test: science,3 Years,Houston full sample,False,1163,672,491,39,21,18,3798.8,3761.8,,,.079999998,.084315024,3,.079999998,.17883928,,False,Meets WWC standards with reservations,,,Student,0,0,1,3-6,0,1,0,0,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,state of texas assessments of academic readiness (staar),broad,1,0,0,0
5216,163,ED562712,1900851,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Department-funded evaluation,/Study/163,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,578.40002,Science achievement,stanford achievement test: science,3 Years,Houston full sample,False,1189,688,501,39,21,18,568.20001,578.40002,,,-.050000001,-.050373934,-2,.30700001,.39175084,,False,Meets WWC standards with reservations,,,Student,0,0,1,3-6,0,1,0,0,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,stanford achievement test (sat),broad,1,0,0,0
5789,163,ED562712,1900851,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Department-funded evaluation,/Study/163,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,65.089996,Science achievement,partnership for the assessment of standards-based science (pass): performance test,3 Years,Full sample,False,2601,1429,1172,67,35,32,66.550003,65.089996,,,.090000004,.090611294,4,.35499999,.023083828,,False,Meets WWC standards with reservations,,,Student,0,0,1,3-6,0,1,0,0,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,partnership for assessment of readiness for college and careers (parcc),broad,1,0,0,0
